,open,high,low,close,volume
2025-10-10 09:30:01.073795,17504.156769433503,17515.153941252236,17501.3616318239,17508.692497677697,1226
2025-10-10 09:35:01.073795,17504.959915669908,17527.918342529123,17493.35506575053,17506.271670545084,1621
2025-10-10 09:40:01.073795,17525.085031849696,17525.085031849696,17508.76609802735,17517.61028205097,1842
2025-10-10 09:45:01.073795,17530.506349118492,17562.24416051378,17525.61901879306,17544.290125523454,1171
2025-10-10 09:50:01.073795,17532.08703929701,17558.866478438766,17531.67611722234,17540.182070783438,1065
2025-10-10 09:55:01.073795,17525.955126994162,17536.779205998864,17524.77925695054,17536.07526592905,991
2025-10-10 10:00:01.073795,17567.056133090493,17567.97540942998,17532.486430788962,17563.768460722706,1518
2025-10-10 10:05:01.073795,17562.725897941767,17604.99042298647,17559.72502281763,17577.247506614265,1305
2025-10-10 10:10:01.073795,17566.594092893476,17589.615856986682,17542.80219369048,17568.995439134673,691
2025-10-10 10:15:01.073795,17583.657694595633,17588.504399292524,17565.76276967548,17578.527674065892,1356
2025-10-10 10:20:01.073795,17574.09848118088,17582.89498395899,17535.71457482704,17570.381473328136,855
2025-10-10 10:25:01.073795,17553.275342330093,17565.773471854896,17553.275342330093,17562.198423894428,741
2025-10-10 10:30:01.073795,17554.972481933357,17573.002453102137,17554.972481933357,17566.44781331877,1845
2025-10-10 10:35:01.073795,17529.696279865966,17535.65172632262,17514.445929014488,17532.838275748734,1973
2025-10-10 10:40:01.073795,17519.02947260404,17519.02947260404,17488.668559061334,17502.59557035233,1798
2025-10-10 10:45:01.073795,17481.23991413742,17521.339760737857,17481.23991413742,17492.75407913377,1502
2025-10-10 10:50:01.073795,17477.539742200246,17507.51863278062,17455.57796925172,17475.036873422065,919
2025-10-10 10:55:01.073795,17474.363996930562,17507.43064322511,17473.989110045168,17480.52835714654,1138
2025-10-10 11:00:01.073795,17451.20213212121,17482.386097447637,17451.20213212121,17464.65561654542,1415
2025-10-10 11:05:01.073795,17427.9343970459,17450.057646826328,17419.71664098285,17439.990218775627,1221
2025-10-10 11:10:01.073795,17459.84352630613,17484.155054889085,17459.84352630613,17465.55111896978,701
2025-10-10 11:15:01.073795,17455.40383647565,17463.82106921109,17427.035216798322,17461.607811452177,1714
2025-10-10 11:20:01.073795,17471.87556983656,17471.87556983656,17438.98508877356,17462.78696247865,1393
2025-10-10 11:25:01.073795,17432.636046235806,17454.353491761103,17423.54360140014,17437.906888427628,1894
2025-10-10 11:30:01.073795,17415.318186110737,17457.366750985057,17394.776216138405,17428.41399316569,1596
2025-10-10 11:35:01.073795,17415.234956837514,17463.05839788495,17415.234956837514,17430.347197980347,1611
2025-10-10 11:40:01.073795,17397.7416491418,17430.2884615312,17380.972022487265,17410.28498030323,1692
2025-10-10 11:45:01.073795,17405.131141516595,17423.84940576531,17405.131141516595,17416.82598986916,1721
2025-10-10 11:50:01.073795,17401.450274148472,17429.52210125935,17388.15543515951,17406.364770324064,1815
2025-10-10 11:55:01.073795,17399.16918061157,17414.945542753278,17372.867679370658,17401.287442513938,1065
2025-10-10 12:00:01.073795,17399.429231621263,17406.90973173766,17380.334557899994,17390.816972798475,1254
2025-10-10 12:05:01.073795,17418.983670313453,17431.121301011768,17391.6829748462,17423.029603687977,1315
2025-10-10 12:10:01.073795,17409.445027768325,17454.380995653726,17401.04250057148,17422.7944411418,1909
2025-10-10 12:15:01.073795,17391.809679184687,17426.21588264424,17391.809679184687,17404.366161048452,1691
2025-10-10 12:20:01.073795,17432.404213201942,17440.28373422939,17400.097655605437,17418.682033882604,1682
2025-10-10 12:25:01.073795,17388.66526812943,17402.694048655387,17386.570229210305,17397.416546530676,1615
2025-10-10 12:30:01.073795,17410.184347043963,17410.184347043963,17381.216875426388,17401.05023349438,1815
2025-10-10 12:35:01.073795,17353.425636981916,17378.8317484214,17338.424446272165,17366.949915227673,1769
2025-10-10 12:40:01.073795,17354.19588694215,17354.19588694215,17330.10236577094,17343.88337463835,724
2025-10-10 12:45:01.073795,17354.931791568637,17355.251497362675,17322.23945229853,17347.297712954252,1461
2025-10-10 12:50:01.073795,17351.490522226468,17384.202152609498,17341.264602544805,17360.1081125685,1018
2025-10-10 12:55:01.073795,17365.978961779194,17369.389276946564,17331.53607930791,17363.083084457023,1101
2025-10-10 13:00:01.073795,17349.03868909194,17377.116908604465,17328.18335937117,17361.075073721342,1379
2025-10-10 13:05:01.073795,17339.12037744782,17373.407843473546,17334.622976820487,17355.84758985724,1808
2025-10-10 13:10:01.073795,17337.002578474927,17362.494155048353,17310.598860497354,17330.18658753417,1883
2025-10-10 13:15:01.073795,17320.353832721186,17342.207062425212,17312.428298797186,17317.71155308873,1410
2025-10-10 13:20:01.073795,17324.771898989737,17324.771898989737,17284.23903556782,17309.73434372308,1888
2025-10-10 13:25:01.073795,17344.83553707175,17344.83553707175,17324.10846347169,17328.032848627776,1758
2025-10-10 13:30:01.073795,17346.810635156908,17346.810635156908,17302.063355049137,17333.987077636808,1278
2025-10-10 13:35:01.073795,17288.018263795613,17323.88874452748,17288.018263795613,17303.426562366396,1002
2025-10-10 13:40:01.073795,17303.270388426005,17336.827561331167,17303.270388426005,17309.034325530858,1097
2025-10-10 13:45:01.073795,17297.051766536988,17320.965357080368,17270.537560658624,17302.36892312098,1020
2025-10-10 13:50:01.073795,17281.133042084934,17316.160330539966,17275.018278719028,17290.656568939507,1178
2025-10-10 13:55:01.073795,17301.176374493407,17306.10685379852,17295.129428929446,17301.232853581216,1128
2025-10-10 14:00:01.073795,17321.861847018263,17350.75897755334,17306.517765477307,17319.07041639185,1448
2025-10-10 14:05:01.073795,17324.036700974324,17335.65331238216,17312.194217148728,17335.199322352208,1941
2025-10-10 14:10:01.073795,17306.28729167504,17325.801189855512,17306.28729167504,17320.651319312332,1995
